species,min,max
Sphyrospermum cordifolium,42.5,3670
Sphyrospermum dissimile,50,2250
Squamidium nigricans,90,3200
Stanhopea annulata,200,875
Stanhopea tricornis,100,800
Steiropteris glandulosa,50,1300
Stelis allenii,220,1500
Stelis argentata,200,3200
Stelis deregularis,40,2400
Stelis imraei,75,1900
Stelis maxima,42,3000
Stelis microchila,100,2200
Stelis morganii,410,2000
Stelis pidax,170,1200
Stellaria ovata,97.5,4480
Stenospermation andreanum,38,3300
Stenospermation densiovulatum,200,2275
Stenospermation latifolium,30,1450
Stenospermation longipetiolatum,50,2050
Stenospermation sessile,5,2400
Sticherus ferrugineus,210,1585
Sticherus rufus,50,2000
Stigmatopteris contracta,200,1562.5
Stigmatopteris killipiana,116.5,850
Stigmatopteris michaelis,304.8,600
Stigmatopteris sordida,55,1985
Strychnos toxifera,5,1295
Stylogyne ardisioides,80,2550
Swartzia decidua,450,700
Synechanthus warscewiczianus,3,1555
Synedrella nodiflora,5,3340
Syngonium crassifolium,80,1234
Syngonium hoffmannii,130,2100
Syngonium podophyllum,5,2150
Tabernaemontana amygdalifolia,10,1920
Tabernaemontana columbiensis,50,1585
Talisia equatoriensis,25,900
Tanaecium pyramidatum,5,2125
Tectaria antioquiana,15,2735
Tectaria heracleifolia,40,2000
Tectaria mexicana,25,1300
Tectaria murilloana,75,1675
Tectaria rivalis,2,1100
Tetrorchidium andinum,50,2690
Teuscheria integrilabia,450,700
Tilesia baccata,2,3000
Torenia crustacea,2,2800
Torenia fournieri,30.25,1749
Tournefortia microcalyx,70,2490
Tournefortiopsis crispiflora,5,3305
Trema domingense,55,1100
Trichilia martiana,2,2276
Trichilia surinamensis,60,2255
Trichodrymonia aurea,38,2500
Trichodrymonia binata,150,1400
Trichodrymonia hypocyrta,150,1390
Trichomanes cristatum,100,2550
Trichomanes sublabiatum,310,1600
Trichopilia rostrata,400,2400
Trichopilia steinii,450,700
Trichostigma octandrum,15.24,2791
Triolena hirsuta,15,1066.8
Triolena pustulata,100,1180
Tristicha trifaria,19,700
Turpinia occidentalis,5,3320
Unonopsis pacifica,5,940
Urceolina astrophiala,130,1500
Urena lobata,2,2250
Urera lianoides,30,1800
Valeriana candolleana,400,3108.96
Valeriana chaerophylloides,200,2700
Valeriana scandens,500,3180
Vandenboschia collariata,50,2000
Vandenboschia radicans,50,2928
Vanilla mexicana,120,700
Vanilla planifolia,5,3465
Vasconcellea microcarpa,30,2500
Verbena litoralis,10,2500
Vernonanthura patens,5,3200
Virola reidii,54,1175
Virola sebifera,2,2132
Wallisia anceps,55,1880
Werauhia vittata,75,1706.88
Wettinia aequalis,5,1850
Wettinia kalbreyeri,121,2766.1
Witheringia solanacea,1.25,1600
Xanthosoma eggersii,50,2200
Xanthosoma reticulatum,5,2000
Xanthosoma undipes,80,2572
Xiphidium caeruleum,2,2750
Xylobium elongatum,55,1800
Zanthoxylum riedelianum,10,2500
Zanthoxylum sambucirhachis,450,1200
Zootrophion alvaroi,400,600
Zootrophion atropurpureum,500,700
